# energy dos
-1.367949999999999910e+01 0.000000000000000000e+00
-1.366709999999999958e+01 0.000000000000000000e+00
-1.365460000000000029e+01 0.000000000000000000e+00
-1.364220000000000077e+01 0.000000000000000000e+00
-1.362969999999999970e+01 0.000000000000000000e+00
-1.361730000000000018e+01 0.000000000000000000e+00
-1.360490000000000066e+01 0.000000000000000000e+00
-1.359239999999999959e+01 0.000000000000000000e+00
-1.358000000000000007e+01 0.000000000000000000e+00
-1.356750000000000078e+01 0.000000000000000000e+00
-1.355509999999999948e+01 0.000000000000000000e+00
-1.354260000000000019e+01 0.000000000000000000e+00
-1.353020000000000067e+01 0.000000000000000000e+00
-1.351779999999999937e+01 0.000000000000000000e+00
-1.350530000000000008e+01 0.000000000000000000e+00
-1.349290000000000056e+01 0.000000000000000000e+00
-1.348039999999999949e+01 0.000000000000000000e+00
-1.346799999999999997e+01 0.000000000000000000e+00
-1.345560000000000045e+01 0.000000000000000000e+00
-1.344309999999999938e+01 0.000000000000000000e+00
-1.343069999999999986e+01 0.000000000000000000e+00
-1.341820000000000057e+01 0.000000000000000000e+00
-1.340579999999999927e+01 0.000000000000000000e+00
-1.339329999999999998e+01 0.000000000000000000e+00
-1.338090000000000046e+01 0.000000000000000000e+00
-1.336849999999999916e+01 0.000000000000000000e+00
-1.335599999999999987e+01 0.000000000000000000e+00
-1.334360000000000035e+01 0.000000000000000000e+00
-1.333109999999999928e+01 0.000000000000000000e+00
-1.331869999999999976e+01 0.000000000000000000e+00
-1.330630000000000024e+01 0.000000000000000000e+00
-1.329379999999999917e+01 0.000000000000000000e+00
-1.328139999999999965e+01 0.000000000000000000e+00
-1.326890000000000036e+01 0.000000000000000000e+00
-1.325649999999999906e+01 0.000000000000000000e+00
-1.324399999999999977e+01 0.000000000000000000e+00
-1.323160000000000025e+01 0.000000000000000000e+00
-1.321920000000000073e+01 0.000000000000000000e+00
-1.320669999999999966e+01 0.000000000000000000e+00
-1.319430000000000014e+01 0.000000000000000000e+00
-1.318179999999999907e+01 0.000000000000000000e+00
-1.316939999999999955e+01 0.000000000000000000e+00
-1.315700000000000003e+01 0.000000000000000000e+00
-1.314450000000000074e+01 0.000000000000000000e+00
-1.313209999999999944e+01 0.000000000000000000e+00
-1.311960000000000015e+01 0.000000000000000000e+00
-1.310720000000000063e+01 0.000000000000000000e+00
-1.309469999999999956e+01 0.000000000000000000e+00
-1.308230000000000004e+01 0.000000000000000000e+00
-1.306990000000000052e+01 0.000000000000000000e+00
-1.305739999999999945e+01 0.000000000000000000e+00
-1.304499999999999993e+01 0.000000000000000000e+00
-1.303250000000000064e+01 0.000000000000000000e+00
-1.302009999999999934e+01 0.000000000000000000e+00
-1.300760000000000005e+01 0.000000000000000000e+00
-1.299520000000000053e+01 0.000000000000000000e+00
